Arist(s) Name|Track Name|Album Name|Length|SpotifyID|ISRC|Release Date|Popularity
Kodak Black; Lil Wayne | Codeine Dreaming (feat. Lil Wayne) | Project Baby 2: All Grown Up (Deluxe Edition) | 00:04:24 | 4DTpngLjoHj5gFxEZFeD3J | USAT21705082 | 2017-11-24 | 66
Logic; Ryan Tedder | One Day (feat. Ryan Tedder) | One Day (feat. Ryan Tedder) | 00:03:19 | 6e2PtJYcltVk76nLwxBzRn | USUM71810248 | 2018-07-27 | 41
Kanye West | Stronger | Graduation | 00:05:11 | 2HVr1GSSrPWENqB9UcPZtK | USUM70741299 | 2007-09-11 | 0
Kanye West | I Wonder | Graduation | 00:04:03 | 62cnlJ7kDMSm2B4bj4o9Oz | USUM70749085 | 2007-09-11 | 0
Kanye West; T-Pain | Good Life | Graduation | 00:03:27 | 3GVttx9eVHDl1v1BTGFcTI | USUM70749087 | 2007-09-11 | 0
Kanye West | Can't Tell Me Nothing | Graduation | 00:04:31 | 7G0uGEYkmd6uXgqNeTtceS | USUM70739239 | 2007-09-11 | 0
Kanye West; Dwele | Flashing Lights | Graduation | 00:03:57 | 13Lo5VWNLncNBVK3xCJTvJ | USUM70749095 | 2007-09-11 | 0
Kanye West; DJ Premier | Everything I Am | Graduation | 00:03:47 | 1JS5G1Ljpmu1iB2v9l6dvD | USUM70749106 | 2007-09-11 | 0
Kanye West; Chris Martin | Homecoming | Graduation | 00:03:23 | 2HBmjEubzEnSaLKIkPGKsU | USUM70749093 | 2007-09-11 | 0
Fetty Wap; Remy Boyz | 679 (feat. Remy Boyz) | 679 (feat. Remy Boyz) | 00:03:16 | 5NQbUaeTEOGdD6hHcre0dZ | QMCE31500250 | 2015-06-29 | 78
Kanye West | Black Skinhead | Yeezus | 00:03:08 | 1ce3DvvGQn6hY2LMGMLCr5 | USUM71307719 | 2013-01-01 | 6
KYLE; Lil Yachty | iSpy (feat. Lil Yachty) | iSpy (feat. Lil Yachty) | 00:04:13 | 2EEeOnHehOozLq4aS0n6SL | USAT21700378 | 2016-12-02 | 70
Hoodie Allen; Christian French | Come Around | Whatever USA | 00:02:46 | 2zkhW5YaOPPaPgNWXmjTjF | SE5VF1906500 | 2019-08-16 | 54
Logic; Alessia Cara; Khalid | 1-800-273-8255 | Everybody | 00:04:10 | 5tz69p7tJuGPeMGwNTxYuV | USUM71702778 | 2017-05-05 | 77
NF | Let You Down | Perception | 00:03:32 | 52okn5MNA47tk87PeZJLEL | USUM71708226 | 2017-10-06 | 80
Logic | Under Pressure | Under Pressure (Deluxe) | 00:09:19 | 5LME7YULt0enp6UAB8VoDn | USUM71414228 | 2014-10-21 | 59
Kodak Black; PnB Rock | Too Many Years | Lil Big Pac | 00:03:16 | 0BU7nIcCZxYSE0hYcc5oZz | USUYG1104623 | 2016-06-10 | 1
